где я нахожусь,Я думаю\, примерно тут: Рига\, квартал Иманта\, Имантциемс.,точное мое нахождение	simple.where
алиса навигатор выключи пожалуйста,Сейчас будет сделано,алиса подскажи местонахождение	simple.where
включи таймер на три минуты,Поставила таймер на 3 минуты.,стоп	other.stop
градусов,В настоящее время в Москве 0, пасмурно.,стоп	other.stop
включи самую грустную фотографию,Ладно\, попробую,закончить разговор	other.stop
как можно,Легко и непринужденно,где мы сейчас	simple.where
отключись пожалуйста	other.stop
Алиса\, что за музыка играет?,Сейчас узнаем,Алиса\, что за музыка играет?	simple.recognize.music
что ты можешь,Вот что я могу:,алиса что за песня играет	simple.recognize.music
алиса хватит болтать	other.stop
что ты умеешь,Вот что я могу:,алиса где я нахожусь в каком городе	simple.where
привет,Я здесь.,определи песню	simple.recognize.music
цццццццццццццццццццццццццццццццццццццццццццццц,Объясните\, пожалуйста,алиса закройся	other.stop
алиса где я,На планете Земля\, плюс-минус несколько тысяч километров. Точнее вы мне не рассказываете.,алиса где я	simple.where
алиса,Привет.,назови число от одного до миллиона	simple.random_num
алиса выбери цифру от одного до десяти,Выпало число 1.,алиса выбери цифру от одного до двух	simple.random_num
алиса где я,Если карта верна\, вы по адресу Нижний Новгород.,а на улице какой	simple.where
