geldik	49
sus	19
kapat kapat	19
rotayı iptal	14
geldim	12
geldi	11
yandexi kapat	10
haritayı kapat	10
rotary kapat	10
navigasyon iptal	10
uygulamayı kapat	9
kapan	9
programı kapat	9
dur	8
içine bak bak buradan gidelim geldik ki ben buradan problem değil	8
iptal yandex	8
bitti	7
rotayı sil	7
eve geldim	6
navigasyon iptal et	6
navigasyon kapat	6
konumum kapat	6
iptal iptal	6
dur dur	5
iptal ederim	5
geldiniz	5
kapatalım	5
rotayı kapat	4
iptal tamam	4
tamam ben kapattım	4
kapatabilirsin	4
buradan geldin	3
tamam kapat	3
geldin	3
iptal ettim	3
kapatabilirsin tamam	3
yandex iptal	3
sil	2
sesli yardım kapat	2
yandex kapat	2
rotayı iptal et tamam	2
rotayı iptal et rota iptal	2
adresi iptal	2
navigasyonu kapat kapat	2
navigasyon kapat kapat	2
yenikapı iptal	2
yolculuğu iptal et	2
kapatmak	2
kapatma	2
kapat yandex	2
kapat tamam	2
iptale adresi adalet	2
iptal rota iptal	2
hepsini iptal et	2
gidiş iptal edildi	2
geldim tamam oldu	2
ev iptal	2
bitti bitti	2
dinle beni kapat	2
tamam iptal et	2
tamam kapatabilirsin	2
bütün rota iptal	1
bütün rotaları kapat	1
bu yol tarifini iptal edilir	1
barış noktası geldik	1
görevi iptal et	1
gültepe gitmeyi iptal ederim	1
balıkesir kapat	1
haritayı iptal et	1
hastane iptal	1
hedef iptal	1
hışım geldik	1
iptal eden	1
iptal edildi	1
iptal ediyorum	1
iptal ediyoruz	1
iptal et bütün gidişleri	1
iptal et rotayı	1
iptal etmek	1
iptal ettim gitme	1
iptal ettir	1
iptal gitmekten vazgeçtim	1
iptal hedef iptal et	1
iptal kapat	1
iptal konumunu geri dön	1
iptal normale dönsün	1
iptal oldu	1
iptal oldu ya	1
iptal rotayı kapat	1
iptale	1
iptali biraz önce gitcem	1
iptaş iptal	1
istanbul iptal	1
iğneada iptal	1
iğneadaya iptal et	1
iş iptal	1
işlem iptal et	1
kaldır	1
kaldırmak	1
kaldırsın	1
kapat diyorum	1
kapat iptal et	1
kapat istemiyorum	1
kapat kapat gerizekalı kapat	1
kapat kapat kapat	1
kapat kapat tamam	1
kapat kapat yandexi kapat gitmicem	1
kapat kendini	1
kapat köprüsü	1
kapat kızım kendi sana demedim	1
kapat programı	1
kapat yeter tama	1
kapat şunu	1
kapatabiliriz	1
kapatalım mı	1
kapatalım şimdi	1
kapattım	1
kapattım telefonu	1
kapatın	1
kapatır musun	1
kapatıyor sen napıyorsun ya	1
kendini kapat	1
konumu iptal et	1
konumu iptal et konumu iptal et	1
aramayı kapat	1
aramayı iptal	1
aramaları iptal et	1
lütfen iptali	1
lütfen kapat	1
lütfen kapatalım	1
lütfen kapatmak	1
lütfen konuşun kapat	1
mersine gitmiyorum iptal ediyorum	1
muratpaşa iptal	1
navigasyon aç navigasyonu kapat	1
navigasyon iptal çıkış navigasyon iptal	1
navigasyon kapat neydi	1
navigasyon kapatır misin	1
navigasyon navigasyonu kapat	1
navigasyonu kapat yandexi kapat	1
ne buldun aşkım konumu kapat	1
nokta vardı kapatır misin	1
okey rota iptal	1
okey yandex rota iptal	1
parkyeri rotasına iptal et	1
adresi iptali	1
adresi iptal et	1
adres iptali	1
programı iptali	1
programı kapat dediğimde kapatma	1
rotadan çıktık rota iptal	1
rotadan çıktık rotayı iptal et	1
rotary iptal et	1
rotayı iptal et iptal	1
rotayı iptal tamam	1
rotayı iptal çayı	1
sabiha gökçenin çek iptali	1
sana demedim kapat	1
sana demedim sana demedim kapat kapat	1
siktir git ya iptal	1
sil baştan	1
